VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
0.6,-2.142857e-08,0.237178,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-1.428571e-08,0.236611,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-7.142857e-09,0.236045,0.000000e+00,0.000000e+00,nan,nan,1
0.6,-0.000000e+00,0.235478,9.033624e+13,1.106975e+06,0.000000,0.000000,0
0.6,4.088455e-09,0.235307,8.973978e+13,1.114333e+06,0.000000,0.000000,0
0.6,8.503985e-09,0.235122,8.910012e+13,1.122333e+06,0.000000,0.000000,0
0.6,1.327276e-08,0.234922,8.841452e+13,1.131036e+06,0.000000,0.000000,0
0.6,1.842303e-08,0.234707,8.768013e+13,1.140509e+06,0.000000,0.000000,0
0.6,2.398533e-08,0.234474,8.689400e+13,1.150827e+06,0.000000,0.000000,0
0.6,2.999261e-08,0.234223,8.605308e+13,1.162073e+06,0.000000,0.000000,0
0.6,3.648048e-08,0.233951,8.515423e+13,1.174340e+06,0.000000,0.000000,0
0.6,4.348737e-08,0.233658,8.419425e+13,1.187730e+06,-0.000000,-0.000000,0
0.6,5.105481e-08,0.233342,8.316990e+13,1.202358e+06,0.000000,0.000000,0
0.6,5.922765e-08,0.233000,8.207792e+13,1.218354e+06,0.000000,0.000000,0
0.6,6.805432e-08,0.232631,8.091504e+13,1.235864e+06,0.000000,0.000000,0
0.6,7.758712e-08,0.232233,7.967805e+13,1.255051e+06,-0.000000,-0.000000,0
0.6,8.788254e-08,0.231803,7.836382e+13,1.276099e+06,0.000000,0.000000,0
0.6,9.900160e-08,0.231339,7.696934e+13,1.299219e+06,0.000000,0.000000,0
0.6,1.110102e-07,0.230838,7.549178e+13,1.324647e+06,0.000000,0.000000,0
0.6,1.239795e-07,0.230297,7.392859e+13,1.352657e+06,0.000000,0.000000,0
0.6,1.379863e-07,0.229713,7.227751e+13,1.383556e+06,-0.000000,-0.000000,0
0.6,1.531136e-07,0.229082,7.053666e+13,1.417703e+06,-0.000000,-0.000000,0
0.6,1.694512e-07,0.228402,6.870468e+13,1.455505e+06,0.000000,0.000000,0
0.6,1.870957e-07,0.227668,6.678074e+13,1.497438e+06,0.000000,0.000000,0
0.6,2.061518e-07,0.226875,6.476473e+13,1.544050e+06,0.000000,0.000000,0
