VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
-0.4,-2.612760e-06,0.117819,4.999998e+18,2.000001e+01,-0.400000,-0.400000,0
-0.4,-2.426461e-06,0.117819,4.999995e+18,2.000002e+01,-0.400000,-0.400000,0
-0.4,-2.253961e-06,0.117819,4.999989e+18,2.000005e+01,-0.400000,-0.400000,0
-0.4,-2.094239e-06,0.117818,4.999973e+18,2.000011e+01,-0.400000,-0.400000,0
-0.4,-1.946348e-06,0.117818,4.999941e+18,2.000024e+01,-0.400000,-0.400000,0
-0.4,-1.809413e-06,0.117818,4.999876e+18,2.000050e+01,-0.400000,-0.400000,0
-0.4,-1.682620e-06,0.117817,4.999753e+18,2.000099e+01,-0.400000,-0.400000,0
-0.4,-1.565220e-06,0.117816,4.999534e+18,2.000186e+01,-0.400000,-0.400000,0
-0.4,-1.456516e-06,0.117814,4.999161e+18,2.000336e+01,-0.400000,-0.400000,0
-0.4,-1.355864e-06,0.117811,4.998550e+18,2.000580e+01,-0.400000,-0.400000,0
-0.4,-1.262667e-06,0.117806,4.997593e+18,2.000963e+01,-0.400000,-0.400000,0
-0.4,-1.176375e-06,0.117799,4.996150e+18,2.001541e+01,-0.400000,-0.400000,0
-0.4,-1.096474e-06,0.117788,4.994050e+18,2.002383e+01,-0.400000,-0.400000,0
-0.4,-1.022492e-06,0.117773,4.991095e+18,2.003568e+01,-0.400000,-0.400000,0
-0.4,-9.539897e-07,0.117752,4.987064e+18,2.005188e+01,-0.400000,-0.400000,0
-0.4,-8.905619e-07,0.117724,4.981721e+18,2.007338e+01,-0.400000,-0.400000,0
-0.4,-8.318324e-07,0.117688,4.974827e+18,2.010120e+01,-0.400000,-0.400000,0
-0.4,-7.774533e-07,0.117643,4.966152e+18,2.013631e+01,-0.400000,-0.400000,0
-0.4,-7.271023e-07,0.117587,4.955486e+18,2.017965e+01,-0.400000,-0.400000,0
-0.4,-6.804810e-07,0.117520,4.942655e+18,2.023204e+01,-0.400000,-0.400000,0
-0.4,-6.373131e-07,0.117441,4.927527e+18,2.029416e+01,-0.400000,-0.400000,0
-0.4,-5.973428e-07,0.117349,4.910022e+18,2.036651e+01,-0.400000,-0.400000,0
-0.4,-5.603333e-07,0.117244,4.890118e+18,2.044941e+01,-0.400000,-0.400000,0
-0.4,-5.260653e-07,0.117126,4.867850e+18,2.054295e+01,-0.400000,-0.400000,0
-0.4,-4.943356e-07,0.116996,4.843312e+18,2.064703e+01,-0.400000,-0.400000,0
-0.4,-4.649562e-07,0.116853,4.816647e+18,2.076133e+01,-0.400000,-0.400000,0
-0.4,-4.377531e-07,0.116699,4.788044e+18,2.088535e+01,-0.400000,-0.400000,0
-0.4,-4.125651e-07,0.116535,4.757730e+18,2.101843e+01,-0.400000,-0.400000,0
-0.4,-3.892428e-07,0.116361,4.725955e+18,2.115974e+01,-0.400000,-0.400000,0
-0.4,-3.676481e-07,0.116180,4.692991e+18,2.130837e+01,-0.400000,-0.400000,0
-0.4,-3.476530e-07,0.115993,4.659114e+18,2.146331e+01,-0.400000,-0.400000,0
-0.4,-3.291391e-07,0.115801,4.624601e+18,2.162349e+01,-0.400000,-0.400000,0
-0.4,-3.119965e-07,0.115605,4.589721e+18,2.178782e+01,-0.400000,-0.400000,0
-0.4,-2.961238e-07,0.115407,4.554730e+18,2.195520e+01,-0.400000,-0.400000,0
-0.4,-2.814268e-07,0.115209,4.519862e+18,2.212457e+01,-0.400000,-0.400000,0
-0.4,-2.678185e-07,0.115010,4.485334e+18,2.229488e+01,-0.400000,-0.400000,0
-0.4,-2.552182e-07,0.114814,4.451335e+18,2.246517e+01,-0.400000,-0.400000,0
-0.4,-2.435512e-07,0.114620,4.418031e+18,2.263452e+01,-0.400000,-0.400000,0
-0.4,-2.327485e-07,0.114429,4.385562e+18,2.280209e+01,-0.400000,-0.400000,0
-0.4,-2.227460e-07,0.114242,4.354046e+18,2.296715e+01,-0.400000,-0.400000,0
-0.4,-2.134844e-07,0.114061,4.323575e+18,2.312901e+01,-0.400000,-0.400000,0
-0.4,-2.049088e-07,0.113885,4.294222e+18,2.328710e+01,-0.400000,-0.400000,0
-0.4,-1.969685e-07,0.113715,4.266041e+18,2.344094e+01,-0.400000,-0.400000,0
-0.4,-1.896164e-07,0.113551,4.239065e+18,2.359011e+01,-0.400000,-0.400000,0
-0.4,-1.828088e-07,0.113393,4.213315e+18,2.373428e+01,-0.400000,-0.400000,0
-0.4,-1.765055e-07,0.113242,4.188797e+18,2.387320e+01,-0.400000,-0.400000,0
-0.4,-1.706692e-07,0.113098,4.165506e+18,2.400669e+01,-0.400000,-0.400000,0
-0.4,-1.652651e-07,0.112961,4.143428e+18,2.413461e+01,-0.400000,-0.400000,0
-0.4,-1.602614e-07,0.112830,4.122539e+18,2.425690e+01,-0.400000,-0.400000,0
-0.4,-1.556283e-07,0.112706,4.102811e+18,2.437353e+01,-0.400000,-0.400000,0
-0.4,-1.513384e-07,0.112589,4.084209e+18,2.448455e+01,-0.400000,-0.400000,0
-0.4,-1.473662e-07,0.112477,4.066694e+18,2.459000e+01,-0.400000,-0.400000,0
-0.4,-1.436883e-07,0.112373,4.050225e+18,2.468998e+01,-0.400000,-0.400000,0
-0.4,-1.402828e-07,0.112274,4.034760e+18,2.478462e+01,-0.400000,-0.400000,0
-0.4,-1.371296e-07,0.112180,4.020252e+18,2.487406e+01,-0.400000,-0.400000,0
-0.4,-1.342100e-07,0.112093,4.006658e+18,2.495846e+01,-0.400000,-0.400000,0
