Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.65,3.242740e-04,0.369161,1.009462e+16,9.460814e+13,0.001312,0.616280
0.65,3.437951e-04,0.369120,1.008758e+16,8.756196e+13,0.001289,0.614238
0.65,3.644875e-04,0.369077,1.008067e+16,8.066064e+13,0.001264,0.612073
0.65,3.864214e-04,0.369033,1.007395e+16,7.393363e+13,0.001238,0.609778
0.65,4.096713e-04,0.368987,1.006742e+16,6.740985e+13,0.001208,0.607344
0.65,4.343162e-04,0.368939,1.006113e+16,6.111722e+13,0.001177,0.604762
0.65,4.592250e-04,0.368892,1.005536e+16,5.534776e+13,0.001145,0.602152
0.65,4.841338e-04,0.368846,1.005012e+16,5.011653e+13,0.001112,0.599539
0.65,5.090426e-04,0.368800,1.004538e+16,4.537322e+13,0.001078,0.596923
0.65,5.339514e-04,0.368755,1.004108e+16,4.107209e+13,0.001045,0.594303
0.65,5.588602e-04,0.368711,1.003718e+16,3.717161e+13,0.001010,0.591679
0.65,5.837690e-04,0.368667,1.003364e+16,3.363403e+13,0.000976,0.589050
0.65,6.086778e-04,0.368624,1.003043e+16,3.042506e+13,0.000941,0.586415
0.65,6.335866e-04,0.368582,1.002752e+16,2.751354e+13,0.000906,0.583772
0.65,6.584953e-04,0.368539,1.002488e+16,2.487118e+13,0.000870,0.581119
0.65,6.834041e-04,0.368498,1.002248e+16,2.247225e+13,0.000835,0.578456
0.65,7.083129e-04,0.368456,1.002030e+16,2.029338e+13,0.000799,0.575777
0.65,7.332217e-04,0.368415,1.001832e+16,1.831331e+13,0.000763,0.573082
0.65,7.581305e-04,0.368374,1.001652e+16,1.651271e+13,0.000727,0.570366
0.65,7.830393e-04,0.368334,1.001488e+16,1.487396e+13,0.000690,0.567623
0.65,8.079481e-04,0.368293,1.001338e+16,1.338105e+13,0.000654,0.564848
0.65,8.328569e-04,0.368253,1.001202e+16,1.201935e+13,0.000617,0.562034
0.65,8.577657e-04,0.368213,1.001078e+16,1.077552e+13,0.000580,0.559170
0.65,8.826745e-04,0.368173,1.000964e+16,9.637370e+12,0.000543,0.556244
0.65,9.075833e-04,0.368134,1.000860e+16,8.593726e+12,0.000506,0.553241
0.65,9.324921e-04,0.368094,1.000764e+16,7.634345e+12,0.000469,0.550141
0.65,9.574009e-04,0.368055,1.000675e+16,6.749803e+12,0.000432,0.546919
0.65,9.823097e-04,0.368015,1.000593e+16,5.931412e+12,0.000395,0.543538
0.65,1.007218e-03,0.367976,1.000517e+16,5.171132e+12,0.000358,0.539952
0.65,1.032127e-03,0.367937,1.000446e+16,4.461504e+12,0.000321,0.536097
0.65,1.057036e-03,0.367898,1.000380e+16,3.795580e+12,0.000283,0.531879
0.65,1.081945e-03,0.367859,1.000317e+16,3.166879e+12,0.000246,0.527159
0.65,1.106854e-03,0.367820,1.000257e+16,2.569365e+12,0.000208,0.521715
0.65,1.131762e-03,0.367781,1.000200e+16,1.997495e+12,0.000171,0.515167
0.65,1.156671e-03,0.367742,1.000145e+16,1.446507e+12,0.000134,0.506785
0.65,1.181580e-03,0.367703,1.000091e+16,9.137263e+11,0.000096,0.494870
0.65,1.206489e-03,0.367665,1.000041e+16,4.072339e+11,0.000059,0.473939
0.65,1.231398e-03,0.367626,1.000005e+16,3.750102e+10,0.000021,0.412243
0.65,1.245440e-03,0.367605,1.000000e+16,4.456762e+03,0.000000,0.000000
